               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.017554,            0.014995,                   0,             0.80101,              0.6875,             0.78335,             0.49856,            0.032411,            0.015464,                   0,             0.00901,             0.00901,             0.00901
                  62,            0.017513,            0.015533,                   0,             0.86455,             0.80469,             0.88336,             0.60711,             0.02851,              0.0103,                   0,           0.0089935,           0.0089935,           0.0089935
                  63,            0.017455,            0.014613,                   0,              0.8921,             0.83971,             0.90625,             0.64289,            0.027824,           0.0093637,                   0,            0.008977,            0.008977,            0.008977
                  64,            0.018398,            0.016377,                   0,              0.8535,             0.91029,             0.92649,             0.65249,            0.026116,           0.0091831,                   0,           0.0089605,           0.0089605,           0.0089605
                  65,            0.017609,            0.015407,                   0,             0.88889,             0.87498,              0.9069,             0.63735,            0.025474,           0.0094623,                   0,            0.008944,            0.008944,            0.008944
                  66,            0.016493,            0.015101,                   0,              0.8873,             0.86115,             0.93306,             0.68256,            0.025461,           0.0092745,                   0,           0.0089275,           0.0089275,           0.0089275
                  67,            0.017415,            0.014946,                   0,             0.88327,             0.89844,              0.9115,             0.66174,            0.026056,            0.008599,                   0,            0.008911,            0.008911,            0.008911
                  68,            0.016525,            0.014719,                   0,             0.91062,             0.87558,              0.9363,             0.67553,            0.024672,           0.0083527,                   0,           0.0088945,           0.0088945,           0.0088945
                  69,            0.016376,            0.015046,                   0,             0.89298,             0.84743,             0.91161,             0.66096,            0.026777,           0.0094204,                   0,            0.008878,            0.008878,            0.008878
                  70,            0.017744,            0.014954,                   0,             0.92278,             0.84021,             0.92571,             0.68259,            0.026573,           0.0085138,                   0,           0.0088615,           0.0088615,           0.0088615
                  71,            0.017362,            0.016381,                   0,             0.93243,             0.86247,             0.91628,             0.64578,            0.026735,           0.0089172,                   0,            0.008845,            0.008845,            0.008845
                  72,            0.017421,            0.015677,                   0,             0.88693,             0.91926,             0.93262,             0.66257,             0.02551,           0.0087511,                   0,           0.0088285,           0.0088285,           0.0088285
                  73,            0.017083,            0.015925,                   0,             0.90742,             0.84232,             0.91276,             0.65765,            0.025929,           0.0090899,                   0,            0.008812,            0.008812,            0.008812
                  74,            0.016402,            0.014213,                   0,             0.81267,             0.84375,             0.88007,             0.59363,            0.028328,            0.011373,                   0,           0.0087955,           0.0087955,           0.0087955
